United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,(Ex Fuel),"$2,231 ","$2,317 ","$2,434 ","$2,432 ","$2,421 ","$2,569 ","$2,853 ","$2,998 ","$2,426 ","$2,193 ","$2,133 ","$2,142 ","$2,287 ","$2,403 ","$2,530 ","$2,634 ","$2,854 ","$2,571 ","$2,781 ","$2,921 ","$2,887 "
,,,,,,,,,,,,,,,,,,,,,,
,Pilots,$672 ,$724 ,$792 ,$818 ,$810 ,$889 ,"$1,086 ","$1,186 ",$838 ,$706 ,$602 ,$595 ,$613 ,$681 ,$754 ,$741 ,$697 ,$774 ,$929 ,"$1,101 ","$1,100 "
,Salaries and Wages,$510 ,$553 ,$623 ,$616 ,$606 ,$650 ,$720 ,$758 ,$487 ,$430 ,$386 ,$386 ,$397 ,$435 ,$465 ,$473 ,$493 ,$521 ,$633 ,$738 ,$767 
,Pilot Training,$29 ,$23 ,$26 ,$23 ,$26 ,$26 ,$32 ,$31 ,$19 ,$13 ,$12 ,$9 ,$11 ,$11 ,$15 ,$10 ,$11 ,$7 ,$11 ,$22 ,$35 
,Benefits and Payroll Taxes,$91 ,$103 ,$95 ,$128 ,$124 ,$157 ,$273 ,$342 ,$288 ,$220 ,$162 ,$155 ,$153 ,$181 ,$218 ,$203 ,$141 ,$194 ,$220 ,$237 ,$242 
,Per Diem/ Personnel,$42 ,$46 ,$48 ,$50 ,$54 ,$56 ,$61 ,$55 ,$45 ,$43 ,$43 ,$46 ,$51 ,$55 ,$55 ,$55 ,$52 ,$52 ,$64 ,$102 ,$57 
,,,,,,,,,,,,,,,,,,,,,,
,Purchased Goods,$844 ,"$1,013 ",$970 ,$817 ,$782 ,"$1,091 ","$1,156 ","$1,016 ","$1,142 ","$1,517 ","$2,211 ","$2,587 ","$2,716 ","$4,446 ","$2,269 ","$3,166 ","$3,988 ","$3,980 ","$3,753 ","$3,583 ","$2,393 "
,Fuel/Oil,$782 ,$921 ,$885 ,$737 ,$697 ,$999 ,"$1,075 ",$922 ,"$1,052 ","$1,421 ","$2,104 ","$2,476 ","$2,611 ","$4,319 ","$2,171 ","$3,053 ","$3,857 ","$3,875 ","$3,656 ","$3,488 ","$2,278 "
